Tanggal;Tavg
27/05/2023;28
28/05/2023;28,2
29/05/2023;29,1
30/05/2023;27,9
31/05/2023;28,6
01/06/2023;28,4
02/06/2023;28,4
03/06/2023;29
04/06/2023;28,3
05/06/2023;28,5
06/06/2023;27,6
07/06/2023;28,4
08/06/2023;28,1
09/06/2023;27,3
10/06/2023;28,3
11/06/2023;27,2
12/06/2023;28,4
13/06/2023;28,2
14/06/2023;27,7
15/06/2023;28,3
16/06/2023;25
17/06/2023;27
18/06/2023;27,4
19/06/2023;26,3
20/06/2023;27,5
21/06/2023;28,6
22/06/2023;27,8
23/06/2023;28,3
24/06/2023;28,1
25/06/2023;27,7
26/06/2023;27,2
27/06/2023;27,4
28/06/2023;27,9
29/06/2023;28,1
30/06/2023;28,3
01/07/2023;27,8
02/07/2023;27,7
03/07/2023;27,7
04/07/2023;27,6
05/07/2023;28,2
06/07/2023;27
07/07/2023;25,5
08/07/2023;27,1
09/07/2023;27,1
10/07/2023;28,5
11/07/2023;27,9
12/07/2023;27,7
13/07/2023;27,8
14/07/2023;27,5
15/07/2023;28,2
16/07/2023;27,8
17/07/2023;27,8
18/07/2023;26,7
19/07/2023;27,4
20/07/2023;26,2
21/07/2023;27,3
22/07/2023;27,1
23/07/2023;26,9
24/07/2023;25,5
25/07/2023;26,8
26/07/2023;26,8
27/07/2023;27,7
28/07/2023;27,4
29/07/2023;27
30/07/2023;26,2
31/07/2023;26,7
01/08/2023;27,2
02/08/2023;28,5
03/08/2023;28,5
04/08/2023;28,1
05/08/2023;27,8
06/08/2023;27,6
07/08/2023;27,1
08/08/2023;27,7
09/08/2023;27,2
10/08/2023;27,1
11/08/2023;27,6
12/08/2023;27,3
13/08/2023;26,5
14/08/2023;26,8
15/08/2023;26,9
16/08/2023;27,2
17/08/2023;27
18/08/2023;27,8
19/08/2023;27
20/08/2023;28,3
21/08/2023;27,9
22/08/2023;27,3
23/08/2023;27,8
24/08/2023;27,3
25/08/2023;27,8
26/08/2023;28,6
27/08/2023;28,1
28/08/2023;27,1
29/08/2023;26,8
30/08/2023;26,8
31/08/2023;26,9
01/09/2023;27,4
02/09/2023;27,4
03/09/2023;28
04/09/2023;27
05/09/2023;26,6
06/09/2023;27,6
07/09/2023;27,2
08/09/2023;27,3
09/09/2023;28,1
10/09/2023;27,4
11/09/2023;28
12/09/2023;28
13/09/2023;28,2
14/09/2023;27,9
15/09/2023;27,4
16/09/2023;27,3
17/09/2023;28,1
18/09/2023;28,6
19/09/2023;28,6
20/09/2023;27,9
21/09/2023;28,5
22/09/2023;27,9
23/09/2023;27,4
24/09/2023;27,7
25/09/2023;28,6
26/09/2023;28,7
27/09/2023;28,5
28/09/2023;28,7
29/09/2023;28,6
30/09/2023;28,7
01/10/2023;28,1
02/10/2023;28,6
03/10/2023;28,5
04/10/2023;28,5
05/10/2023;28,6
06/10/2023;29
07/10/2023;29
08/10/2023;28,4
09/10/2023;28,9
10/10/2023;29,7
11/10/2023;29,8
12/10/2023;29,3
13/10/2023;29,3
14/10/2023;29,5
15/10/2023;29,3
16/10/2023;29,8
17/10/2023;29,5
18/10/2023;29,3
19/10/2023;29,3
20/10/2023;29,2
21/10/2023;28,7
22/10/2023;29,8
23/10/2023;29
24/10/2023;29,3
25/10/2023;28,5
26/10/2023;29,4
27/10/2023;28,9
28/10/2023;29,1
29/10/2023;29,5
30/10/2023;29,5
31/10/2023;29,7
01/11/2023;28,6
02/11/2023;29,3
03/11/2023;28,9
04/11/2023;28
05/11/2023;27,3
06/11/2023;28,9
07/11/2023;29,6
08/11/2023;29,4
09/11/2023;29,1
10/11/2023;28,9
11/11/2023;28,5
12/11/2023;28,3
13/11/2023;29,7
14/11/2023;28,8
15/11/2023;28,5
16/11/2023;29,5
17/11/2023;29,6
18/11/2023;28,6
19/11/2023;29,4
20/11/2023;29,2
21/11/2023;29,1
22/11/2023;29,6
23/11/2023;28
24/11/2023;28
25/11/2023;25
